1	702876	702977	[['Amrozi'], ['accused', 'called', 'distorting'], ['brother', 'witness', 'evidence']]	[['Amrozi'], ['accused', 'distorting'], ['brother', 'evidence']]
1	2294059	2294112	[['magistrate', 'Fort', 'Lauderdale'], ['ordered', 'held'], ['bail']]	[['Zuccarini'], ['was', 'ordered', 'held'], ['bail', 'Wednesday', 'judge', 'Fort', 'Lauderdale', 'Fla.']]
0	487993	487952	[['dollar'], ['was'], ['yen', 'yen', 'session', 'franc']]	[['dollar'], ['was'], ['yen', 'JPY', 'session', 'franc', 'CHF', 'percent']]
1	1321918	1321644	[['IMF', 'Argentina'], ['struck', 'expires'], ['debt', 'rollover', 'deal', 'August']]	[['sides'], ['managed', 'strike', 'expires'], ['debt', 'rollover', 'deal', 'August']]
1	1239046	1239031	[['children'], ['tend', 'be', 'approach'], ['people', 'objects', 'situations', 'children']]	[['invividuals'], ['tend', 'be'], ['people', 'situations']]
0	2791650	2791604	[['SPX'], ['fell'], ['points', 'percent']]	[['S&P', 'index'], ['was', 'sinking'], ['percent', 'yesterday']]
0	2559762	2559517	[['Duque'], ['return'], ['Earth', 'Oct.', 'station', 'crew', 'U.S.', 'astronaut', 'Ed', 'Lu', 'Russian', 'cosmonaut', 'Yuri', 'Malenchenko']]	None
1	105493	105432	[['Singapore'], ['is', 'totaling'], ['United', 'States', 'trading', 'partner', 'trade']]	[['Singapore'], ['is'], ['trading', 'partner', 'United', 'States', 'trade', 'volume', 'year']]
1	1989515	1989458	[['AFL-CIO'], ['is', 'waiting', 'decide', 'endorse'], ['October', 'candidate']]	[['AFL-CIO'], ['announced', 'decide', 'endorse'], ['Wednesday', 'October', 'candidate', 'primaries']]
1	2538111	2538021	[['Retailers', 'J.C.', 'Penney', 'Co.', 'Inc.', 'JCP', 'Walgreen', 'Co.', 'WAG'], ['kick'], ['things', 'Monday']]	None
1	374967	375017	[['court'], ['upheld', 'ruling', 'are', 'provide'], ['Cleveland', 'school', 'voucher', 'program', 'vouchers', 'parents', 'choice', 'schools']]	[['court'], ['ruled', 'are', 'provide'], ['Ohio', 'case', 'government', 'vouchers', 'parents', 'choices', 'range', 'schools']]
0	2198036	2198094	[['Graves'], ['reported'], ['Albuquerque', 'Villafranca', 'Austin', 'Ratcliffe', 'Laredo']]	[['Pete', 'Slover'], ['reported'], ['Laredo', 'Gromer', 'Jeffers', 'Albuquerque']]
1	921159	921272	[['US', 'chip', 'market'], ['is', 'expected', 'decline', 'grow'], ['percent', 'year', 'percent']]	[['Americas', 'market'], ['decline', 'grow'], ['percent', 'percent']]
1	740726	739960	[['group'], ['be', 'headed', 'has', 'served'], ['State', 'Department', 'official', 'John', 'S.', 'Wolf', 'Australia', 'Vietnam', 'Greece', 'Pakistan']]	[['group'], ['be', 'headed', 'has', 'served'], ['John', 'S.', 'Wolf', 'assistant', 'secretary', 'state', 'Australia', 'Vietnam', 'Greece', 'Pakistan']]
1	1041293	1041421	[['company'], ['has', 'said', 'plans', 'restate'], ['earnings']]	[['company'], ['had', 'announced', 'have', 'restate'], ['January', 'earnings']]
1	2630545	2630577	[['be'], ['spotlight']]	[['Results', 'No.', 'U.S.', 'drink', 'maker', 'PepsiCo', 'Inc.', 'nyse', 'PEP', 'news', 'people'], ['were', 'be'], ['spotlight']]
1	2674986	2674800	[['songs'], ['are'], ['offer', 'cents', 'album']]	[['company'], ['offer'], ['songs', 'cents', 'albums']]
1	2193346	2193362	[['talk'], ['was', 'downplayed', 'said', 'focus', 'were'], ['PBL', 'purchases', 'earnings', 'cash', 'flow', 'accretive']]	[['talk'], ['has', 'been', 'downplayed', 'said', 'focus', 'were'], ['PBL', 'purchases', 'earnings', 'cash']]
1	149798	149596	[['Comcast', 'Class', 'A', 'shares'], ['were'], ['cents', 'morning', 'trading', 'Nasdaq', 'Stock', 'Market']]	[['stock'], ['rose'], ['cents', 'yesterday', 'Nasdaq', 'Stock', 'Market', 'trading']]
1	3035675	3035707	[['questions', 'audience', 'forum'], ['were'], ['candidates']]	[['audience', 'questions'], ['were'], ['candidates']]
1	622300	622384	[['death', 'toll'], ['approached', 'sickened', 'appeared'], ['people', 'syndrome', 'virus', 'China', 'November']]	[['death', 'toll', 'SARS'], ['was', 'sickened', 'appeared'], ['people', 'virus', 'China', 'November']]
0	962311	962987	[['battles'], ['fallen'], ['day', 'U.S.', 'sweep', 'hunt', 'supporters', 'Saddam', 'Hussein', 'regime']]	[['Iraqis'], ['were', 'killed', 'pushing', 'fallen'], ['number', 'opposition', 'deaths', 'U.S.', 'operation', 'hunt', 'supporters', 'Saddam', 'Hussein', 'regime']]
0	2506257	2506206	[['women'], ['had'], ['examinations', 'years']]	[['women'], ['had', 'were', 'asked'], ['examinations', 'stress']]
0	221038	221083	[['Embraer', 'jets'], ['are', 'scheduled', 'be', 'delivered'], ['September']]	[['Bombardier', 'Embraer', 'aircraft'], ['be', 'delivered'], ['U.S.', 'Airways', 'September']]
1	1097577	1097664	[['Oracle'], ['intends', 'support', 'come'], ['PeopleSoft', 'customers', 'products', 'years']]	[['Ellison'], ['said', 'intends', 'support', 'come'], ['contentions', 'PeopleSoft', 'management', 'Oracle', 'PeopleSoft', 'customers', 'products', 'years']]
0	218017	218035	[['Application', 'Intelligence'], ['be', 'included', 'is', 'included'], ['part', 'company', 'SmartDefense', 'application', 'Firewall-1']]	[['application', 'intelligence', 'features'], ['be', 'are', 'included', 'comes'], ['June', 'SmartDefense', 'product', 'FireWall-1']]
1	423245	423228	[['downtime'], ['is', 'expected', 'cut'], ['production', 'board', 'feet']]	[['downtime'], ['is', 'expected', 'take'], ['board', 'feet', 'companys', 'system']]
1	1336931	1336883	[['Troy'], ['is', 'expected', 'be', 'sentenced'], ['life', 'prison', 'parole']]	[['Troy'], ['faces'], ['life', 'prison', 'parole', 'July', 'sentencing']]
1	2208366	2208492	[['University', 'Michigan'], ['released', 'dropping', 'found'], ['admission', 'process', 'Thursday', 'point', 'system', 'U.S.', 'Supreme', 'Court', 'June']]	[['University', 'Michigan'], ['released', 'struck', 'admitted'], ['today', 'admissions', 'policy', 'U.S.', 'Supreme', 'Court', 'June', 'way', 'undergraduates']]
1	2405153	2405189	[['processors'], ['were', 'announced'], ['San', 'Jose', 'Intel', 'Developer', 'Forum']]	[['processor'], ['was', 'unveiled'], ['Intel', 'Developer', 'Forum', 'San', 'Jose', 'Calif.']]
0	3334905	3334946	[['Justice', 'Department'], ['filed', 'failing', 'end', 'call'], ['suit', 'Thursday', 'state', 'Mississippi', 'officials', 'abuse', 'juveniles', 'conditions', 'facilities']]	[['Justice', 'Department'], ['filed', 'alleging'], ['rights', 'lawsuit', 'Thursday', 'state', 'Mississippi', 'abuse', 'offenders', 'facilities']]
1	1439663	1439808	[['rate'], ['go'], ['percent', 'residents', 'incomes']]	[['income-tax', 'rate'], ['increase'], ['percent']]
1	2070455	2070493	[['Secretary', 'State', 'Colin', 'Powell'], ['brushed'], ['possibility', 'Wednesday']]	[['Secretary', 'State', 'Colin', 'Powell'], ['ruled'], ['treaty']]
1	1996069	1996101	[['Thomas', 'Tauzin'], ['say', 'do', 'has', 'correct'], ['doctors', 'Bush', 'administration', 'power', 'flaws']]	[['Mr.', 'Thomas', 'Mr.', 'Tauzin'], ['say', 'has', 'correct'], ['Bush', 'administration', 'power', 'flaws']]
1	3147370	3147525	[['results'], ['appear', 'being', 'published'], ['January', 'issue', 'Cancer', 'American', 'Cancer', 'Society', 'journal', 'online', 'today']]	[['results'], ['appear', 'being', 'published'], ['January', 'issue', 'Cancer', 'American', 'Cancer', 'Society', 'news', 'web', 'sites', 'journal', 'online', 'Monday']]
1	1211287	1210972	[['biotechnology', 'treatment', 'asthma', 'constriction', 'airways', 'millions', 'world'], ['received'], ['approval', 'US', 'Food', 'Drug', 'Administration', 'yesterday']]	[['biotechnology', 'treatment', 'asthma', 'constriction', 'airways', 'millions', 'Americans'], ['received'], ['approval', 'U.S.', 'Food', 'Drug', 'Administration', 'Friday']]
1	2512758	2512692	[['U.S.', 'officials'], ['said'], ['Thursday']]	[['partner', 'accountancy', 'firm', 'Ernst', 'Young'], ['was', 'arrested', 'obstructing'], ['yesterday', 'FBI', 'agents', 'US', 'charges', 'investigations']]
0	3183829	3183863	[['Kelly'], ['begin'], ['meetings', 'Deputy', 'Foreign', 'Minister', 'Alexander', 'Losyukov', 'Washington', 'Monday']]	[['Deputy', 'Foreign', 'Minister', 'Alexander', 'Losyukov'], ['said', 'be', 'fixed'], ['Moscow', 'Tuesday', 'firm', 'date', 'months', 'end']]
1	3257588	3257537	[['shooting', 'spree'], ['was'], ['November', 'shooting', 'Hamilton', 'Central', 'Elementary', 'School', 'Obetz', 'km', 'freeway']]	[['shooting', 'spree'], ['occurred'], ['Nov.', 'Hamilton', 'Central', 'Elementary', 'Obetz', 'miles', 'freeway']]
0	1321343	1321577	[['Dow', 'Jones', 'Industrial', 'Average'], ['ended', 'fell'], ['points', '%', 'Nasdaq', 'points', '%']]	[['Dow', 'Jones', 'average'], ['was', 'having', 'gained'], ['percent', 'Tuesday']]
0	953744	953727	[['IXIC'], ['added'], ['points', 'percent']]	[['Nasdaq', 'Composite', 'Index', 'IXIC'], ['dipped'], ['point']]
0	1268733	1268445	[['dollar'], ['was'], ['yen', 'currency', 'percent']]	[['dollar'], ['was'], ['francs', 'percent', 'day']]
0	969512	969295	[['SPX'], ['gave'], ['points', 'percent']]	[['Nasdaq', 'Composite', 'Index'], ['was'], ['points', 'percent']]
0	472952	472535	[['Mitsubishi', 'Tokyo', 'Financial', 'JP', 'news', 'chart', 'profile'], ['declined'], ['yen', 'percent', 'yen']]	[['Sumitomo', 'Mitsui', 'Financial', 'JP', 'news', 'chart', 'profile'], ['was'], ['percent', 'yen']]
1	224868	225233	[['Shares', 'Hartford'], ['rose'], ['New', 'York', 'Stock', 'Exchange', 'trading']]	[['Shares', 'Hartford'], ['were'], ['percent', 'midday', 'trading']]
1	129193	129302	[['Tokyo', 'Electric', 'Power', 'Co.', 'Asia', 'power', 'company'], ['won', 'restart', 'shut', 'admitted', 'falsifying'], ['approval', 'reactors', 'inspection', 'reports']]	[['Tokyo', 'Electric', 'Power', 'Co.', 'Asia', 'power', 'company'], ['restarted', 'shut', 'admitting', 'falsified'], ['reactors', 'inspection', 'reports']]
1	2843951	2843930	[['Tuition', 'colleges'], ['averaged'], ['year', 'percent']]	[['tuition', 'colleges'], ['averaged'], ['year']]
1	1946553	1946598	[['dozen', 'FBI', 'agents'], ['were', 'dispatched', 'secure', 'analyze'], ['evidence']]	[['dozen', 'FBI', 'agents'], ['be', 'sent', 'secure', 'analyze'], ['Iraq', 'evidence', 'bombing']]
1	2216702	2216672	[['surgery'], ['lived'], ['average', 'months']]	[['survival'], ['was'], ['months']]
1	742090	742015	[['Tonight', 'spokesman', 'Russia', 'ministry', 'ministry'], ['issue', 'clarifying'], ['statement', 'Thursday', 'Russia', 'position', 'cooperation', 'Iran', 'efforts']]	[['Tonight', 'spokesman', 'Russian', 'Foreign', 'Ministry'], ['said', 'issue', 'clarifying', 'aiding'], ['statement', 'Thursday', 'Russia', 'position', 'Iran', 'efforts']]
1	1795859	1795818	[['committee', 'President', 'Mohammad', 'Khatami'], ['called'], ['inquiry', 'Kazemi', 'death']]	[['committee', 'President', 'Mohammad', 'Khatami'], ['had', 'called'], ['inquiry', 'photojournalist', 'death']]
0	2305958	2306072	[['Dow', 'Jones', 'average'], ['eased', 'scoring'], ['points', 'percent', 'sessions']]	[['DJI'], ['rose'], ['points', 'percent']]
0	2156094	2155607	[['Nasdaq', 'index'], ['inched', 'following', 'win'], ['percent', 'percent']]	[['Nasdaq', 'Composite', 'Index', 'IXIC'], ['was'], ['points', 'percent']]
1	758342	758501	[['Physicians', 'ban'], ['be'], ['fines', 'years', 'prison']]	[['Physicians', 'procedure'], ['face'], ['years', 'prison', 'bill']]
0	869467	869240	[['Standard', 'Poor', 'stock', 'index', 'futures'], ['declined', 'fell'], ['points', 'Nasdaq', 'futures', 'points']]	[['Standard', 'Poor', 'Index'], ['was'], ['points', 'percent']]
1	1465425	1464865	[['children'], ['treat', 'serving', 'contains'], ['soda', 'bottle', '8-ounce', 'servings']]	[['Anhalt'], ['said', 'treat', 'serving', 'contains'], ['children', 'soda', 'bottle']]
0	223008	222987	[['yield', 'percent', 'note'], ['fell'], ['basis', 'points', 'percent']]	[['yield'], ['fell', 'reaching'], ['basis', 'points', 'percent', 'percent', 'May', 'March']]
0	554534	554959	[['pressure'], ['intensify', 'planned', 'are'], ['today', 'coverage', 'round', 'ESPN', 'words']]	[['pressure'], ['rise', 'planned'], ['today', 'coverage', 'round', 'ESPN', 'cable', 'sports', 'network']]
1	1967578	1967664	[['decision', 'guidance', 'intelligence'], ['passed'], ['Britain', 'FBI', 'briefing', 'July']]	[['Scotland', 'Yard', 'decision', 'guidance', 'intelligence'], ['passed'], ['Britain', 'FBI', 'July']]
1	317570	317290	[['memo', 'sales', 'Windows', 'desktop', 'software'], ['mentioned', 'emerging', 'is', 'owned'], ['Linux', 'software', 'competitor', 'company']]	[['memo'], ['mentioned', 'emerging', 'is', 'owned'], ['Linux', 'software', 'competitor', 'company']]
1	2047034	2046820	[['judge'], ['told', 'needed', 'find'], ['health', 'authorities', 'housing', 'treatment', 'DeVries', 'California']]	[['judge'], ['had', 'told', 'find'], ['state', 'Department', 'Mental', 'Health', 'housing', 'treatment', 'DeVries', 'California']]
1	2046630	2046644	[['decision'], ['came', 'ended'], ['year', 'Whipple', 'oversight', 'district', 'balance', 'facilities', 'budget', 'busing']]	[['decision'], ['came', 'ended'], ['year', 'Whipple', 'oversight', 'school', 'busing', 'district', 'balance', 'facilities', 'budget']]
0	706709	706766	[['lists'], ['led', 'hosted'], ['toa', 'CBS', 'AFI', 'Years', 'Heroes', 'Villains', 'Arnold', 'Schwarzenegger']]	[['list', 'AFI', 'Years', 'Heroes', 'Villains'], ['aired'], ['Tuesday', 'CBS']]
0	2086071	2086118	[['Police'], ['warned', 'travel', 'avoid'], ['residents', 'Friday', 'convenience', 'stores', 'service', 'stations', 'stores', 'night']]	[['Police'], ['advised', 'travel', 'be'], ['residents', 'Friday', 'convenience', 'stores']]
1	3264615	3264641	[['Prosecutors'], ['said', 'is', 'was', 'were', 'sent'], ['question', 'Waagner', 'letters', 'time', 'anthrax', 'attacks']]	[['Prosecutors'], ['said', 'is', 'was', 'were', 'sent', 'were', 'killing'], ['question', 'Waagner', 'letters', 'time', 'anthrax', 'attacks', 'people']]
1	262374	262921	[['plan'], ['cost', 'pay', 'repealing'], ['Gephardt', 'Bush', 'tax', 'cuts']]	[['plan'], ['cost', 'be', 'paid', 'repealing'], ['Bush', 'tax', 'cuts']]
0	2810464	2810247	[['Food', 'Drug', 'Administration'], ['approved'], ['use', 'silicone', 'breast', 'implants', 'conditions']]	[['drug'], ['was', 'approved'], ['use', 'Friday', 'Food', 'Drug', 'Administration']]
1	2031076	2031038	[['Prosecutors'], ['said', 'convicted', 'face'], ['Paracha', 'years', 'prison']]	[['Paracha'], ['faces', 'convicted'], ['years', 'prison']]
0	143800	143664	[['ECB'], ['has', 'cut'], ['interest', 'rates', 'times', 'period', 'percent', 'October', 'percent']]	[['ECB'], ['has', 'cut'], ['rates', 'percent', 'October', 'percent', 'period']]
1	1909408	1909429	[['Halla'], ['said'], ['statement']]	[['Brian', 'Halla', 'CEO', 'NatSemi'], ['claimed', 'made'], ['deal', 'sense', 'companies']]
1	3034583	3034604	[['Smugglers', 'van'], ['chased', 'carrying'], ['pickup', 'SUV', 'smugglers', 'immigrants']]	[['People', 'van'], ['opened', 'believed', 'be', 'transporting'], ['fire', 'pickup', 'SUV', 'immigrants']]
0	2221603	2221633	[['Nasdaq', 'index'], ['was'], ['percent']]	[['Nasdaq', 'Composite', 'Index', 'IXIC'], ['dipped'], ['points', 'percent']]
0	2975580	2975607	[['loonie'], ['continued', 'slip'], ['trading', 'Friday']]	[['loonie'], ['was'], ['rise', 'Thursday']]
1	813945	813925	[['Ms.', 'Haque'], ['was', 'faces', 'organizing'], ['turquoise', 'cellphone', 'smiley', 'prom']]	[['Fatima'], ['was', 'organizing'], ['turquoise', 'cell', 'phone', 'prom']]
1	3285348	3285324	[['virus'], ['kills', 'according'], ['people', 'year', 'U.S.', 'Centers', 'Disease', 'Control', 'Prevention']]	[['Complications', 'flu'], ['kill', 'according'], ['Americans', 'year', 'U.S.', 'Centers', 'Disease', 'Control', 'Prevention']]
1	424071	424093	[['people', 'IRS', 'representatives'], ['target'], ['families', 'forces', 'members', 'users']]	[['schemes'], ['target', 'serving'], ['families', 'users']]
0	1677100	1677041	[['Wim', 'Wenders'], ['directed', 'praised', 'based'], ['film', 'name', 'sessions']]	[['film', 'name'], ['was', 'directed'], ['Wim', 'Wenders']]
1	2404345	2404222	[['Miss', 'Volochkova'], ['is'], ['others']]	[['Ms.', 'Novikova'], ['said', 'was', 'is'], ['weight', 'ballerinas', 'Ms.', 'Volochkova', 'others']]
1	981097	981018	[['U.S.', 'officials'], ['work', 'identify'], ['port', 'authorities', 'target', 'search', 'cargo']]	[['US', 'officials'], ['work', 'seek', 'reach'], ['port', 'authorities', 'cargo', 'United', 'States']]
1	313947	313222	[['Nelson'], ['faces'], ['years', 'jail', 'life']]	[['verdict'], ['means', 'faces'], ['Nelson', 'years', 'prison', 'life', 'sentence']]
1	434842	434929	[['Fletcher', 'congressman', 'Lexington'], ['had'], ['percent', 'vote']]	[['Fletcher'], ['had'], ['votes', 'percent', 'total']]
1	2895172	2895264	[['Shadrin'], ['said', 'was', 'approached', 'identifying'], ['Khodorkovsky', 'aircraft', 'officers', 'members', 'FSB', 'intelligence', 'service', 'successor', 'KGB']]	[['Shadrin'], ['said', 'was', 'approached', 'identifying'], ['Khodorkovsky', 'aircraft', 'officers', 'members', 'FSB', 'intelligence', 'service']]
0	146481	146276	[['sales', 'period'], ['declined'], ['percent', 'year']]	[['Wal-Mart'], ['said', 'rose'], ['sales', 'stores', 'year', 'percent', 'year']]
1	1053869	1053207	[['U.S.', 'law', 'enforcement', 'officials'], ['are', 'sneering', 'thrust'], ['Dar', 'Heatherington', 'version', 'events', 'spotlight']]	[['U.S.', 'law', 'enforcement', 'officials'], ['are', 'sneering', 'including', 'discredit', 'thrust'], ['Dar', 'Heatherington', 'version', 'events', 'police', 'conspiracy', 'spotlight']]
1	1026659	1026185	[['newspaper', 'Okaz'], ['reported', 'escaped', 'fled', 'broke'], ['Monday', 'suspects', 'Saturday', 'raid', 'car', 'outskirts', 'Mecca', 'Sunday', 'afternoon']]	[['newspaper', 'Okaz'], ['reported', 'arrested', 'fled', 'broke'], ['suspects', 'Sunday', 'raid', 'car', 'outskirts', 'Mecca']]
1	1341925	1342201	[['Michael', 'Mitchell', 'defender', 'Baton', 'Rouge', 'Lee'], ['did', 'answer'], ['phone', 'Wednesday', 'afternoon']]	[['Michael', 'Mitchell', 'defender', 'Baton', 'Rouge', 'Lee'], ['was'], ['comment']]
1	2663667	2663623	[['dollar'], ['be', 'tries', 'stay'], ['focus', 'cent', 'U.S.', 'mark']]	[['dollar'], ['was', 'struggled', 'failed', 'stay'], ['focus', 'cent', 'U.S.', 'mark']]
1	129995	129864	[['Morgan', 'Stanley'], ['raised', 'saying', 'improve'], ['rating', 'beverage', 'maker', 'part', 'pricing', 'power', 'bottlers']]	[['Morgan', 'Stanley'], ['raised', 'saying', 'improve'], ['rating', 'company', 'beverage', 'maker', 'pricing', 'power', 'bottlers']]
1	356759	356778	[['Interior', 'Minister', 'Al', 'Mustapha', 'Sahel'], ['said', 'has', 'been', 'arrested'], ['investigation', 'points', 'group', 'reference', 'Djihad', 'Salafist']]	[['Moroccan', 'Interior', 'Minister', 'Al', 'Mustapha', 'Sahel'], ['told', 'has', 'been', 'arrested'], ['2M', 'television', 'Saturday', 'investigation', 'points', 'group', 'reference', 'Salafist', 'Jihad']]
0	919683	919782	[['pound'], ['made'], ['progress', 'dollar']]	[['pound'], ['flexed', 'last'], ['muscle', 'dollar', 'percent']]
1	2949437	2949407	[['report'], ['was', 'found'], ['Oct.']]	[['report', 'week'], ['tucked', 'belonged'], ['training', 'manual', 'Hicks']]
0	1651582	1651639	[['percent'], ['describe'], ['Republicans', 'percent', 'Democrats', 'percent', 'Independents']]	[['percent'], ['said', 'were', 'called'], ['Republicans', 'percent', 'conservatives']]
1	3088078	3087945	[['immigrants'], ['have', 'used', 'rely', 'send'], ['networks', 'wire', 'transfers', 'couriers', 'mail', 'cash', 'families']]	[['immigrants'], ['have', 'used', 'rely', 'send'], ['networks', '_', 'wire', 'transfers', 'couriers', 'mail', 'stashes', 'cash', 'families']]
1	1032643	1032617	[['lives'], ['Harlingen']]	None
1	2866295	2866282	[['President', 'Leonid', 'Kuchma'], ['cut', 'deteriorates'], ['visit', 'Latin', 'America', 'border', 'wrangle', 'Ukraine', 'Russia']]	[['dispute'], ['has', 'led', 'cut'], ['president', 'Leonid', 'Kuchma', 'state', 'visit', 'Latin', 'America']]
1	822517	822439	[['movies'], ['grossed'], ['percent', 'weekend', 'year']]	[['box', 'office'], ['soared', 'grossing'], ['movies', 'percent', 'year']]
1	1502941	1502927	[['Platinum', 'prices'], ['soared', 'proposed', 'investing'], ['highs', 'year', 'President', 'Bush', 'news', 'web', 'sites', 'research', 'fuel', 'vehicles']]	[['Platinum', 'prices'], ['soared', 'proposed', 'investing'], ['highs', 'year', 'U.S.', 'President', 'George', 'W.', 'Bush', 'research', 'fuel', 'vehicles']]
0	970740	971209	[['Stanford'], ['blanked'], ['Gamecocks']]	[['Stanford'], ['has'], ['team', 'players', 'season']]
0	130656	130644	[['Shares', 'Corixa'], ['fell'], ['cents', 'p.m.']]	[['Shares', 'Corixa'], ['fell'], ['cents', 'Nasdaq', 'stock', 'market']]
1	221462	221512	[['investigators'], ['were', 'looking', 'allocated'], ['CFSB', 'shares', 'stock', 'offerings']]	[['jury', 'Securities', 'Exchange', 'Commission'], ['were', 'looking', 'allocated'], ['company', 'shares', 'stock', 'offerings']]
0	1632415	1632603	[['Qanbar'], ['said', 'elect'], ['council', 'members', 'chairman', 'Sunday']]	[['US', 'authorities'], ['have', 'said', 'include'], ['council', 'members']]
1	2451691	2451742	[['October', 'heating', 'oil', 'futures'], ['settled'], ['cent', 'cents', 'gallon']]	[['October', 'heating', 'oil'], ['ended'], ['cent', 'cents', 'gallon']]
1	2282608	2282544	[['antivirus', 'solutions'], ['carry'], ['price', 'tag', 'years']]	[['antivirus', 'solutions'], ['carry'], ['price', 'tag']]
0	2677852	2677869	[['Securities', 'Exchange', 'Commission'], ['brought'], ['case', 'Thursday']]	[['Securities', 'Exchange', 'Commission'], ['filed'], ['fraud', 'suit', 'teen', 'Boston']]
1	379724	379692	[['ConAgra', 'stock'], ['closed'], ['Monday', 'New', 'York', 'Stock', 'Exchange', 'share', 'cents']]	[['ConAgra', 'shares'], ['closed'], ['Monday', 'share', 'cents', 'New', 'York', 'Stock', 'Exchange']]
1	1156575	1156706	[['features'], ['is', 'delete', 'lock', 'lose'], ['ability', 'data', 'device', 'device', 'user']]	[['features'], ['is', 'delete', 'loses', 'locks'], ['ability', 'data', 'device', 'user', 'device']]
1	2745055	2745022	[['Intel'], ['raised'], ['revenue', 'guidance', 'quarter']]	[['Intel'], ['predicted'], ['sales']]
1	2037906	2038005	[['Georgia'], ['afford', 'get'], ['funding']]	[['Georgia'], ['afford', 'get'], ['funding']]
1	698720	698772	[['shareholders'], ['get', 'own'], ['shares', 'parent', 'company', 'Palm', 'Inc.', 'share', 'Handspring', 'stock']]	[['Handspring', 'shareholders'], ['receive', 'own'], ['Palm', 'shares', 'shares', 'PalmSource', 'share', 'Handspring', 'stock']]
