1	702876	702977	[['Amrozi'], ['accused', 'called', 'distorting'], ['brother', 'witness', 'evidence']]	[['Amrozi'], ['accused', 'distorting'], ['brother', 'evidence']]
1	740726	739960	[['group'], ['be', 'headed', 'has', 'served'], ['State', 'Department', 'official', 'John', 'S.', 'Wolf', 'Australia', 'Vietnam', 'Greece', 'Pakistan']]	[['group'], ['be', 'headed', 'has', 'served'], ['John', 'S.', 'Wolf', 'assistant', 'secretary', 'state', 'Australia', 'Vietnam', 'Greece', 'Pakistan']]
0	284798	284937	[]	[['customer', 'year', 'electricity'], ['see'], ['savings']]
1	1041293	1041421	[['company'], ['has', 'said', 'plans', 'restate'], ['earnings']]	[['company'], ['had', 'announced', 'have', 'restate'], ['January', 'earnings']]
1	2630545	2630577	[['be'], ['spotlight']]	[['Results', 'No.', 'U.S.', 'drink', 'maker', 'PepsiCo', 'Inc.', 'nyse', 'PEP', 'news', 'people'], ['were', 'be'], ['spotlight']]
1	1014977	1014962	[['result'], ['is', 'provide'], ['package', 'growth', 'employees', 'years']]	[[], ['said'], []]
1	3039165	3039036	[['Wal-Mart'], ['said', 'check', 'ensure', 'were', 'employed'], ['workers']]	[[], ['has', 'said', 'review', 'ensure', 'have'], ['employees', 'status']]
1	2674986	2674800	[['songs'], ['are'], ['offer', 'cents', 'album']]	[['company'], ['offer'], ['songs', 'cents', 'albums']]
1	2193346	2193362	[['talk'], ['was', 'downplayed', 'said', 'focus', 'were'], ['PBL', 'purchases', 'earnings', 'cash', 'flow', 'accretive']]	[['talk'], ['has', 'been', 'downplayed', 'said', 'focus', 'were'], ['PBL', 'purchases', 'earnings', 'cash']]
1	149798	149596	[['Comcast', 'Class', 'A', 'shares'], ['were'], ['cents', 'morning', 'trading', 'Nasdaq', 'Stock', 'Market']]	[['stock'], ['rose'], ['cents', 'yesterday', 'Nasdaq', 'Stock', 'Market', 'trading']]
0	1490811	1490840	[[], ['have', 'dropped'], ['percent', '1970s']]	[['Institute'], ['said', 'have', 'fallen'], ['dioxin', 'levels', 'environment', 'percent', '1970s']]
1	426112	426210	[[], ['integrates', 'allows', 'work', 'supported'], ['PurifyPlus', 'developers', 'versions', 'Java', 'Visual', 'C#', 'Visual', 'Basic', 'NET']]	[['IBM'], ['said', 'were', 'integrated', 'allows', 'work'], ['products', 'PurifyPlus', 'developers', 'Java', 'Visual', 'C#', 'VisualBasic', 'Net']]
1	213302	213135	[['Washington', 'Post'], ['said', 'shut', 'accommodate'], ['Airlite', 'shift', 'parts', 'shift', 'Monday', 'president', 'appearance']]	[['Crosby'], ['said'], []]
0	1963350	1963106	[['teammate', 'Carlton', 'Dotson'], ['has', 'been', 'charged'], ['murder']]	[]
1	3035675	3035707	[['questions', 'audience', 'forum'], ['were'], ['candidates']]	[['audience', 'questions'], ['were'], ['candidates']]
1	622300	622384	[['death', 'toll'], ['approached', 'sickened', 'appeared'], ['people', 'syndrome', 'virus', 'China', 'November']]	[['death', 'toll', 'SARS'], ['was', 'sickened', 'appeared'], ['people', 'virus', 'China', 'November']]
0	962311	962987	[['battles'], ['fallen'], ['day', 'U.S.', 'sweep', 'hunt', 'supporters', 'Saddam', 'Hussein', 'regime']]	[['Iraqis'], ['were', 'killed', 'pushing', 'fallen'], ['number', 'opposition', 'deaths', 'U.S.', 'operation', 'hunt', 'supporters', 'Saddam', 'Hussein', 'regime']]
0	2506257	2506206	[['women'], ['had'], ['examinations', 'years']]	[['women'], ['had', 'were', 'asked'], ['examinations', 'stress']]
0	221038	221083	[['Embraer', 'jets'], ['are', 'scheduled', 'be', 'delivered'], ['September']]	[['Bombardier', 'Embraer', 'aircraft'], ['be', 'delivered'], ['U.S.', 'Airways', 'September']]
1	1097577	1097664	[['Oracle'], ['intends', 'support', 'come'], ['PeopleSoft', 'customers', 'products', 'years']]	[['Ellison'], ['said', 'intends', 'support', 'come'], ['contentions', 'PeopleSoft', 'management', 'Oracle', 'PeopleSoft', 'customers', 'products', 'years']]
0	218017	218035	[['Application', 'Intelligence'], ['be', 'included', 'is', 'included'], ['part', 'company', 'SmartDefense', 'application', 'Firewall-1']]	[['application', 'intelligence', 'features'], ['be', 'are', 'included', 'comes'], ['June', 'SmartDefense', 'product', 'FireWall-1']]
0	2277501	2277502	[[], ['None']]	[['Note'], ['subheading', 'parable', 'Masters', 'series', 'Arthur', 'Miller', 'Elia', 'Kazan', 'Blacklist', 'None', 'Sin']]
1	423245	423228	[['downtime'], ['is', 'expected', 'cut'], ['production', 'board', 'feet']]	[['downtime'], ['is', 'expected', 'take'], ['board', 'feet', 'companys', 'system']]
1	1336931	1336883	[['Troy'], ['is', 'expected', 'be', 'sentenced'], ['life', 'prison', 'parole']]	[['Troy'], ['faces'], ['life', 'prison', 'parole', 'July', 'sentencing']]
1	2208366	2208492	[['University', 'Michigan'], ['released', 'dropping', 'found'], ['admission', 'process', 'Thursday', 'point', 'system', 'U.S.', 'Supreme', 'Court', 'June']]	[['University', 'Michigan'], ['released', 'struck', 'admitted'], ['today', 'admissions', 'policy', 'U.S.', 'Supreme', 'Court', 'June', 'way', 'undergraduates']]
1	2405153	2405189	[['processors'], ['were', 'announced'], ['San', 'Jose', 'Intel', 'Developer', 'Forum']]	[['processor'], ['was', 'unveiled'], ['Intel', 'Developer', 'Forum', 'San', 'Jose', 'Calif.']]
0	3334905	3334946	[['Justice', 'Department'], ['filed', 'failing', 'end', 'call'], ['suit', 'Thursday', 'state', 'Mississippi', 'officials', 'abuse', 'juveniles', 'conditions', 'facilities']]	[['Justice', 'Department'], ['filed', 'alleging'], ['rights', 'lawsuit', 'Thursday', 'state', 'Mississippi', 'abuse', 'offenders', 'facilities']]
1	1641162	1641062	[[], ['said', 'provided', 'penetrate'], ['damage', 'wing', 'pathway', 'gasses', 'ship', 'armor', 'Columbia', 'reentry']]	[['document'], ['says', 'provided', 'penetrate'], ['damage', 'wing', 'pathway', 'gases', 'Columbia', 'armour', 're-entry']]
1	244062	243899	[['_', 'was'], ['revival', 'Eugene', "O'Neill", 'family', 'drama', 'Long', 'Day', 'Journey', 'Into', 'Night']]	[]
1	1439663	1439808	[['rate'], ['go'], ['percent', 'residents', 'incomes']]	[['income-tax', 'rate'], ['increase'], ['percent']]
1	2070455	2070493	[['Secretary', 'State', 'Colin', 'Powell'], ['brushed'], ['possibility', 'Wednesday']]	[['Secretary', 'State', 'Colin', 'Powell'], ['ruled'], ['treaty']]
1	1996069	1996101	[['Thomas', 'Tauzin'], ['say', 'do', 'has', 'correct'], ['doctors', 'Bush', 'administration', 'power', 'flaws']]	[['Mr.', 'Thomas', 'Mr.', 'Tauzin'], ['say', 'has', 'correct'], ['Bush', 'administration', 'power', 'flaws']]
1	23807	23792	[[], ['added'], []]	[['U.S.', 'officials'], ['have', 'said', 'take', 'are', 'held', 'based'], ['years', 'elections', 'experiences', 'world']]
1	3147370	3147525	[['results'], ['appear', 'being', 'published'], ['January', 'issue', 'Cancer', 'American', 'Cancer', 'Society', 'journal', 'online', 'today']]	[['results'], ['appear', 'being', 'published'], ['January', 'issue', 'Cancer', 'American', 'Cancer', 'Society', 'news', 'web', 'sites', 'journal', 'online', 'Monday']]
1	1211287	1210972	[['biotechnology', 'treatment', 'asthma', 'constriction', 'airways', 'millions', 'world'], ['received'], ['approval', 'US', 'Food', 'Drug', 'Administration', 'yesterday']]	[['biotechnology', 'treatment', 'asthma', 'constriction', 'airways', 'millions', 'Americans'], ['received'], ['approval', 'U.S.', 'Food', 'Drug', 'Administration', 'Friday']]
1	3300040	3299992	[]	[['Bin', 'Laden', 'men'], ['pointed', 'raising', 'distributing', 'has', 'been', 'complicated'], ['funds', 'U.S.', 'crackdown', 'foundations', 'bank', 'accounts', 'organizations', 'money', 'transfers']]
1	2512758	2512692	[['U.S.', 'officials'], ['said'], ['Thursday']]	[['partner', 'accountancy', 'firm', 'Ernst', 'Young'], ['was', 'arrested', 'obstructing'], ['yesterday', 'FBI', 'agents', 'US', 'charges', 'investigations']]
0	3183829	3183863	[['Kelly'], ['begin'], ['meetings', 'Deputy', 'Foreign', 'Minister', 'Alexander', 'Losyukov', 'Washington', 'Monday']]	[['Deputy', 'Foreign', 'Minister', 'Alexander', 'Losyukov'], ['said', 'be', 'fixed'], ['Moscow', 'Tuesday', 'firm', 'date', 'months', 'end']]
1	3257588	3257537	[['shooting', 'spree'], ['was'], ['November', 'shooting', 'Hamilton', 'Central', 'Elementary', 'School', 'Obetz', 'km', 'freeway']]	[['shooting', 'spree'], ['occurred'], ['Nov.', 'Hamilton', 'Central', 'Elementary', 'Obetz', 'miles', 'freeway']]
0	524136	524119	[[], ['said'], []]	[]
0	1321343	1321577	[['Dow', 'Jones', 'Industrial', 'Average'], ['ended', 'fell'], ['points', '%', 'Nasdaq', 'points', '%']]	[['Dow', 'Jones', 'average'], ['was', 'having', 'gained'], ['percent', 'Tuesday']]
1	2560856	2560808	[['PDC'], [], ['fan', 'flames', 'speculation', 'Longhorn', 'release']]	[['PDC'], ['reignite'], ['speculation', 'release', 'dates', 'Microsoft', 'products']]
1	2728434	2728420	[['Sales', 'figure', 'barometer', 'health'], ['rose', 'falling', 'had', 'predicted'], ['percent', 'industry', 'experts']]	[[], ['disclosed', 'watched', 'were', 'expected'], ['sales', 'figure', 'analysts', 'barometer', 'health', 'industry', 'experts']]
1	3277643	3277659	[['NEC'], ['is', 'pitching', 'including'], ['gear', 'management', 'software', 'variety', 'industries', 'health', 'care', 'hospitality']]	[['company', 'spokesman'], ['said'], []]
1	2621134	2621174	[['Elena', 'Slough', 'nation', 'person', 'person', 'world'], ['died'], ['Sunday', 'morning']]	[['ELENA', 'Slough', 'person', 'US', 'person', 'world'], ['has', 'died'], []]
1	2529661	2529575	[[], ['are', 'declaring'], ['war', 'harassment', 'assault']]	[['Rosa'], ['said'], []]
0	953744	953727	[['IXIC'], ['added'], ['points', 'percent']]	[['Nasdaq', 'Composite', 'Index', 'IXIC'], ['dipped'], ['point']]
0	1268733	1268445	[['dollar'], ['was'], ['yen', 'currency', 'percent']]	[['dollar'], ['was'], ['francs', 'percent', 'day']]
0	969512	969295	[['SPX'], ['gave'], ['points', 'percent']]	[['Nasdaq', 'Composite', 'Index'], ['was'], ['points', 'percent']]
1	304482	304430	[]	[['El', 'Watan', 'Algerian', 'newspaper'], ['reported', 'put'], ['kidnappers', 'resistance', 'army', 'assault', 'firing', 'Kalashnikov', 'rifles']]
0	472952	472535	[['Mitsubishi', 'Tokyo', 'Financial', 'JP', 'news', 'chart', 'profile'], ['declined'], ['yen', 'percent', 'yen']]	[['Sumitomo', 'Mitsui', 'Financial', 'JP', 'news', 'chart', 'profile'], ['was'], ['percent', 'yen']]
0	3119349	3119343	[[], ["'re", 'dealing', 'bragging', 'wins', 'loses'], ['rights']]	[[], ["'re", 'dealing', 'bragging', 'wins', 'loses'], ['rights']]
1	224868	225233	[['Shares', 'Hartford'], ['rose'], ['New', 'York', 'Stock', 'Exchange', 'trading']]	[['Shares', 'Hartford'], ['were'], ['percent', 'midday', 'trading']]
0	2678208	2678191	[['Palm', 'OS', 'phone'], ['is', 'release', 'becomes'], ['product', 'company', 'part', 'palmOne']]	[[], ['was', 'becomes'], ['quarter', 'company', 'part', 'Palm']]
0	1177915	1178039	[[], ['think', 'is', 'involved'], ['protein', 'spread', 'forms', 'cancer']]	[['researchers'], ['say', 'be'], ['research', 'forms', 'cancer']]
1	129193	129302	[['Tokyo', 'Electric', 'Power', 'Co.', 'Asia', 'power', 'company'], ['won', 'restart', 'shut', 'admitted', 'falsifying'], ['approval', 'reactors', 'inspection', 'reports']]	[['Tokyo', 'Electric', 'Power', 'Co.', 'Asia', 'power', 'company'], ['restarted', 'shut', 'admitting', 'falsified'], ['reactors', 'inspection', 'reports']]
1	2843951	2843930	[['Tuition', 'colleges'], ['averaged'], ['year', 'percent']]	[['tuition', 'colleges'], ['averaged'], ['year']]
0	1849508	1849367	[]	[['Security', 'lights'], ['have', 'been', 'installed'], ['barn', 'gate']]
1	1685339	1685429	[[], ['announced', 'replace', 'is', 'has', 'spent', 'force'], ['Davis', 'Rep.', 'Darrell', 'Issa', 'Vista', 'money', 'recall']]	[[], ['declared', 'is', 'has', 'spent', 'fund'], ['party', 'candidate', 'Rep.', 'Darrell', 'Issa', 'Republican', 'money', 'recall']]
1	2624848	2624568	[[], ['said', 'widen'], ['peace', 'plan', 'road', 'map', 'coma', 'attack', 'conflict', 'region']]	[['Mr', 'Jouejati'], ['said', 'widen'], ['road', 'map', 'coma', 'attack', 'region']]
1	2293340	2293455	[['attack'], ['be', 'launched', 'supports', 'including'], ['type', 'document', 'VBA', 'Microsoft', 'Word', 'Excel', 'PowerPoint']]	[[], ['happen', 'supports', 'including'], ['document', 'format', 'VBA', 'Word', 'Excel', 'PowerPoint']]
1	2750203	2750153	[['Officials', 'Brandeis'], ['said', 'was'], ['time', 'campus']]	[[], ['is'], ['time', 'Brandeis', 'University', 'community']]
0	2622625	2622698	[[], ['said'], []]	[[], ['said'], ['applause', 'supporters']]
1	1946553	1946598	[['dozen', 'FBI', 'agents'], ['were', 'dispatched', 'secure', 'analyze'], ['evidence']]	[['dozen', 'FBI', 'agents'], ['be', 'sent', 'secure', 'analyze'], ['Iraq', 'evidence', 'bombing']]
1	2216702	2216672	[['surgery'], ['lived'], ['average', 'months']]	[['survival'], ['was'], ['months']]
1	742090	742015	[['Tonight', 'spokesman', 'Russia', 'ministry', 'ministry'], ['issue', 'clarifying'], ['statement', 'Thursday', 'Russia', 'position', 'cooperation', 'Iran', 'efforts']]	[['Tonight', 'spokesman', 'Russian', 'Foreign', 'Ministry'], ['said', 'issue', 'clarifying', 'aiding'], ['statement', 'Thursday', 'Russia', 'position', 'Iran', 'efforts']]
1	1795859	1795818	[['committee', 'President', 'Mohammad', 'Khatami'], ['called'], ['inquiry', 'Kazemi', 'death']]	[['committee', 'President', 'Mohammad', 'Khatami'], ['had', 'called'], ['inquiry', 'photojournalist', 'death']]
1	2592956	2592914	[['suite'], ['comes', 'continuing', 'utilizing'], ['word', 'processor', 'spreadsheet', 'presentation', 'software', 'components', 'tradition', 'file', 'format']]	[]
1	2845442	2845257	[['Burke'], ['said'], []]	[['National', 'Weather', 'Service'], ['said'], []]
0	2305958	2306072	[['Dow', 'Jones', 'average'], ['eased', 'scoring'], ['points', 'percent', 'sessions']]	[['DJI'], ['rose'], ['points', 'percent']]
0	2156094	2155607	[['Nasdaq', 'index'], ['inched', 'following', 'win'], ['percent', 'percent']]	[['Nasdaq', 'Composite', 'Index', 'IXIC'], ['was'], ['points', 'percent']]
1	758342	758501	[['Physicians', 'ban'], ['be'], ['fines', 'years', 'prison']]	[['Physicians', 'procedure'], ['face'], ['years', 'prison', 'bill']]
0	869467	869240	[['Standard', 'Poor', 'stock', 'index', 'futures'], ['declined', 'fell'], ['points', 'Nasdaq', 'futures', 'points']]	[['Standard', 'Poor', 'Index'], ['was'], ['points', 'percent']]
1	1465425	1464865	[['children'], ['treat', 'serving', 'contains'], ['soda', 'bottle', '8-ounce', 'servings']]	[['Anhalt'], ['said', 'treat', 'serving', 'contains'], ['children', 'soda', 'bottle']]
0	223008	222987	[['yield', 'percent', 'note'], ['fell'], ['basis', 'points', 'percent']]	[['yield'], ['fell', 'reaching'], ['basis', 'points', 'percent', 'percent', 'May', 'March']]
1	1168132	1167672	[]	[]
1	1634651	1634798	[['U.N.', 'officials'], ['said'], []]	[['U.N.', 'officials'], ['said'], []]
1	2189818	2189911	[['board'], ['said'], []]	[['board'], ['said'], []]
1	995311	995560	[[], ['told', 'emerged'], ['reporters', 'church', 'service']]	[[], ['said'], []]
0	554534	554959	[['pressure'], ['intensify', 'planned', 'are'], ['today', 'coverage', 'round', 'ESPN', 'words']]	[['pressure'], ['rise', 'planned'], ['today', 'coverage', 'round', 'ESPN', 'cable', 'sports', 'network']]
1	14874	14831	[]	[[], ["'s", 'calling'], ['president']]
1	1967578	1967664	[['decision', 'guidance', 'intelligence'], ['passed'], ['Britain', 'FBI', 'briefing', 'July']]	[['Scotland', 'Yard', 'decision', 'guidance', 'intelligence'], ['passed'], ['Britain', 'FBI', 'July']]
1	317570	317290	[['memo', 'sales', 'Windows', 'desktop', 'software'], ['mentioned', 'emerging', 'is', 'owned'], ['Linux', 'software', 'competitor', 'company']]	[['memo'], ['mentioned', 'emerging', 'is', 'owned'], ['Linux', 'software', 'competitor', 'company']]
1	2047034	2046820	[['judge'], ['told', 'needed', 'find'], ['health', 'authorities', 'housing', 'treatment', 'DeVries', 'California']]	[['judge'], ['had', 'told', 'find'], ['state', 'Department', 'Mental', 'Health', 'housing', 'treatment', 'DeVries', 'California']]
1	84518	84541	[]	[]
1	2046630	2046644	[['decision'], ['came', 'ended'], ['year', 'Whipple', 'oversight', 'district', 'balance', 'facilities', 'budget', 'busing']]	[['decision'], ['came', 'ended'], ['year', 'Whipple', 'oversight', 'school', 'busing', 'district', 'balance', 'facilities', 'budget']]
0	706709	706766	[['lists'], ['led', 'hosted'], ['toa', 'CBS', 'AFI', 'Years', 'Heroes', 'Villains', 'Arnold', 'Schwarzenegger']]	[['list', 'AFI', 'Years', 'Heroes', 'Villains'], ['aired'], ['Tuesday', 'CBS']]
0	2086071	2086118	[['Police'], ['warned', 'travel', 'avoid'], ['residents', 'Friday', 'convenience', 'stores', 'service', 'stations', 'stores', 'night']]	[['Police'], ['advised', 'travel', 'be'], ['residents', 'Friday', 'convenience', 'stores']]
1	2521336	2521360	[['Microsoft', 'spokesman', 'Sean', 'Sundwell'], ['said'], []]	[['Sundwall'], ['said'], []]
1	3264615	3264641	[['Prosecutors'], ['said', 'is', 'was', 'were', 'sent'], ['question', 'Waagner', 'letters', 'time', 'anthrax', 'attacks']]	[['Prosecutors'], ['said', 'is', 'was', 'were', 'sent', 'were', 'killing'], ['question', 'Waagner', 'letters', 'time', 'anthrax', 'attacks', 'people']]
1	262374	262921	[['plan'], ['cost', 'pay', 'repealing'], ['Gephardt', 'Bush', 'tax', 'cuts']]	[['plan'], ['cost', 'be', 'paid', 'repealing'], ['Bush', 'tax', 'cuts']]
1	2939925	2939981	[[], ['had', 'been', 'be', 'conceive', 'suffering'], ['fears', 'pregnancies', 'cancer', 'uterus']]	[[], ['were', 'have', 'suffering'], ['fears', 'Heather', 'children', 'pregnancies', 'cancer', 'uterus']]
0	2810464	2810247	[['Food', 'Drug', 'Administration'], ['approved'], ['use', 'silicone', 'breast', 'implants', 'conditions']]	[['drug'], ['was', 'approved'], ['use', 'Friday', 'Food', 'Drug', 'Administration']]
1	2031076	2031038	[['Prosecutors'], ['said', 'convicted', 'face'], ['Paracha', 'years', 'prison']]	[['Paracha'], ['faces', 'convicted'], ['years', 'prison']]
1	27639	27668	[['Apple'], ['said'], []]	[['Apple'], ['noted', 'were', 'purchased'], ['songs', 'part', 'albums']]
